CartonIDS,CartonNum,Gap,Length,Barcode,Timestamp,Recirc
CartonID,271,51.107,18.774,SD0002GOOD_001_v,2022-05-13T21:44:24.643Z,41
CartonID,272,30.247,19.817,SD0010GOOD_001_v,2022-05-13T21:44:25.182Z,41
CartonID,273,14.602,18.774,SD0006GOOD_001_v,2022-05-13T21:44:25.559Z,41
CartonID,274,9.387,19.2955,SD0002GOOD_001_v,2022-05-13T21:44:25.818Z,41
CartonID,275,7.301,15.1235,SD0007GOOD_001_v,2022-05-13T21:44:26.041Z,41
CartonID,276,8.344,15.1235,SD0006GOOD_001_v,2022-05-13T21:44:26.220Z,41
CartonID,277,4.172,15.645,SD0008GOOD_001_v,2022-05-13T21:44:26.414Z,41
CartonID,278,8.344,19.2955,SD0006GOOD_001_v,2022-05-13T21:44:26.568Z,41
CartonID,279,9.9085,15.645,SD0008GOOD_001_v,2022-05-13T21:44:26.787Z,41
CartonID,280,11.9945,20.3385,SD0007GOOD_001_v,2022-05-13T21:44:26.990Z,41
CartonID,281,5.215,16.1665,??????????,2022-05-13T21:44:27.237Z,41
CartonID,282,6.7795,14.602,SD0007GOOD_001_v,2022-05-13T21:44:27.399Z,41
CartonID,283,29.204,19.817,SD0001GOOD_001_v,2022-05-13T21:44:27.570Z,41
CartonID,284,7.8225,11.473,SD0008GOOD_001_v,2022-05-13T21:44:27.939Z,41
CartonID,285,45.3705,15.645,SD0003GOOD_001_v,2022-05-13T21:44:28.101Z,41
CartonID,286,14.0805,15.645,SD0004GOOD_001_v,2022-05-13T21:44:28.567Z,41
CartonID,287,6.7795,19.817,SD0003GOOD_001_v,2022-05-13T21:44:28.798Z,41
CartonID,288,17.731,18.774,SD0001GOOD_001_v,2022-05-13T21:44:29.001Z,41
CartonID,289,6.258,19.2955,SD0004GOOD_001_v,2022-05-13T21:44:29.284Z,41
CartonID,290,8.344,18.774,SD0010GOOD_001_v,2022-05-13T21:44:29.483Z,41
