Number,Event_Timestamp,Duration,Class,Location,Description,Tag
36790708,34:58.0,838:59:59,Error,RE2-24.EPC3,Actuated,[MCP06]RE02_24_EPC3_STN.Ctrl.Out_EStop
36788914,34:58.0,838:59:59,Error,RE2-25,Circuit Breaker Fault in DPB Panel,[MCP06]RE02_25.Fault.Flt_CB
36788755,34:58.0,838:59:59,Error,RS2-102.EPC1,Actuated,[MCP06]RS02_102_EPC1_STN.Ctrl.Out_EStop
36788920,34:58.0,838:59:59,Error,RS2-103,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_103.Fault.Flt_CB
36788902,34:58.0,838:59:59,Error,RS2-12,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_12.Fault.Flt_CB
36788803,34:58.0,838:59:59,Error,RS2-12.EPC1,Actuated,[MCP06]RS02_12_EPC1_STN.Ctrl.Out_EStop
36788923,34:58.0,838:59:59,Error,RS2-13,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_13.Fault.Flt_CB
36790667,34:58.0,838:59:59,Error,RS2-22.EPC1,Actuated,[MCP06]RS02_22_EPC1_STN.Ctrl.Out_EStop
36788893,34:58.0,838:59:59,Error,RS2-23,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_23.Fault.Flt_CB
36790719,34:58.0,838:59:59,Error,RS2-32.EPC1,Actuated,[MCP06]RS02_32_EPC1_STN.Ctrl.Out_EStop
36788919,34:58.0,838:59:59,Error,RS2-33,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_33.Fault.Flt_CB
36788938,34:58.0,838:59:59,Error,RS2-42,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_42.Fault.Flt_CB
36790728,34:58.0,838:59:59,Error,RS2-42.EPC1,Actuated,[MCP06]RS02_42_EPC1_STN.Ctrl.Out_EStop
36788904,34:58.0,838:59:59,Error,RS2-52,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_52.Fault.Flt_CB
36790721,34:58.0,838:59:59,Error,RS2-52.EPC1,Actuated,[MCP06]RS02_52_EPC1_STN.Ctrl.Out_EStop
36788895,34:58.0,838:59:59,Error,RS2-62,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_62.Fault.Flt_CB
36790644,34:58.0,838:59:59,Error,RS2-62.EPC1,Actuated,[MCP06]RS02_62_EPC1_STN.Ctrl.Out_EStop
36788931,34:58.0,838:59:59,Error,RS2-63,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_63.Fault.Flt_CB
36790736,34:58.0,838:59:59,Error,RS2-72.EPC1,Actuated,[MCP06]RS02_72_EPC1_STN.Ctrl.Out_EStop
36788911,34:58.0,838:59:59,Error,RS2-82,Circuit Breaker Fault in DPB Panel,[MCP06]RS02_82.Fault.Flt_CB
36790632,34:58.0,838:59:59,Error,RS2-82.EPC1,Actuated,[MCP06]RS02_82_EPC1_STN.Ctrl.Out_EStop
