Number (ID),Start Timestamp,End Timestamp,Duration,Class,Location,Description,Tag
42846288,2022-06-23 23:36:56.0,2022-06-23 23:37:00.0,00:00:04,Error,UL11-1,Anti-Gridlock Prevention Mode,[MCP01]UL11_01.Color.Output.5
42846287,2022-06-23 23:36:55.0,2022-06-23 23:37:10.0,00:00:15,Error,UL2-1,Anti-Gridlock Prevention Mode,[MCP07]UL02_01.Color.Output.5
42846285,2022-06-23 23:36:55.0,2022-06-23 23:36:56.0,00:00:01,Error,PS1-1,Anti-Gridlock Prevention Mode,[MCP01]PS01_01.Color.Output.5
42846283,2022-06-23 23:36:55.0,2022-06-23 23:36:56.0,00:00:01,Error,UL8-1,Anti-Gridlock Prevention Mode,[MCP01]UL08_01.Color.Output.5
42846281,2022-06-23 23:36:55.0,2022-06-23 23:37:10.0,00:00:15,Error,UL2-2,Anti-Gridlock Prevention Mode,[MCP07]UL02_02.Color.Output.5
42846245,2022-06-23 23:36:48.0,2022-06-23 23:37:36.0,00:00:48,Error,FMS-DIV.PS1-11.TO.PS2,Air Pressure Fault,[MCP06]FMS_DIV_PS01_11_TO_PS02
42846115,2022-06-23 23:36:16.0,2022-06-23 23:36:20.0,00:00:04,Error,PS1-13,Anti-Gridlock Prevention Mode,[MCP05]PS01_13.Color.Output.5
42846110,2022-06-23 23:36:15.0,2022-06-23 23:36:16.0,00:00:01,Error,PS1-9,Anti-Gridlock Prevention Mode,[MCP05]PS01_09.Color.Output.5
42846082,2022-06-23 23:36:02.0,2022-06-23 23:36:48.0,00:00:46,Error,SO1-CH29.Half_PE,Jammed,[MCP20]SO01_CH29.Half_PE.Ctrl.Out_FaultPE
42846044,2022-06-23 23:35:52.0,2022-06-23 23:37:03.0,00:01:11,Error,SO1-JAM5.PE1,Jammed,[MCP20]SO01_JAM05_PE1.Ctrl.Out_FaultPE
